Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
56.76,0.900783,1,1,0.12,0.12,50,50
56.88,0.851325,1,1,0.12,0.12,50,50
57,0.793893,1,1,0.12,0.12,50,50
57.12,0.72979,1,1,0.12,0.12,50,50
57.24,0.660472,1,1,0.12,0.12,50,50
57.36,0.587512,1,1,0.12,0.12,50,50
57.48,0.512565,1,1,0.12,0.12,50,50
57.5,0.5,1,1,0.12,0.12,50,50
57.5,0.5,0,0,0.12,0,50,0
57.6,0.437333,0,0,0.12,0,50,0
57.72,0.363524,0,0,0.12,0,50,0
57.84,0.292812,0,0,0.12,0,50,0
57.96,0.226803,0,0,0.12,0,50,0
58.08,0.166994,0,0,0.12,0,50,0
58.2,0.114743,0,0,0.12,0,50,0
58.32,0.0712367,0,0,0.12,0,50,0
58.44,0.0374614,0,0,0.12,0,50,0
58.56,0.0141841,0,0,0.12,0,50,0
58.68,0.0019332,0,0,0.12,0,50,0
58.8,0.000986636,0,0,0.12,0,50,0
58.92,0.0113659,0,0,0.12,0,50,0
59.04,0.0328355,0,0,0.12,0,50,0
59.16,0.0649081,0,0,0.12,0,50,0
59.28,0.106856,0,0,0.12,0,50,0
59.4,0.157726,0,0,0.12,0,50,0
59.52,0.216366,0,0,0.12,0,50,0
59.64,0.281442,0,0,0.12,0,50,0
59.76,0.351479,0,0,0.12,0,50,0
59.88,0.424887,0,0,0.12,0,50,0
60,0.5,0,0,0.12,0,50,0
60,0.5,1,1,0.12,0.12,50,50
