Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
766,0.151469,52,0.12,-3254.62,4184.78,8
768,0.191661,52,0.12,-3252.1,4184.78,8
770,0.236559,52,0.12,-3249.28,4184.78,8
772,0.286157,52,0.12,-3246.17,4184.78,8
774,0.340448,52,0.12,-3242.76,4184.78,8
776,0.399422,52,0.12,-3239.06,4184.78,8
778,0.46307,52,0.12,-3235.06,4184.78,8
780,0.531383,52,0.12,-3230.77,4184.78,8
782,0.604348,52,0.12,-3226.19,4184.78,8
784,0.681956,52,0.12,-3221.32,4184.78,8
786,0.764194,52,0.12,-3216.16,4184.78,8
788,0.851048,52,0.12,-3210.71,4184.78,8
790,0.942505,52,0.12,-3204.97,4184.78,8
792,1.03855,52,0.12,-3198.94,4184.78,8
794,1.13917,52,0.12,-3192.62,4184.78,8
796,1.24435,52,0.12,-3186.02,4184.78,8
798,1.35406,52,0.12,-3179.13,4184.78,8
800,1.4683,52,0.12,-3171.96,4184.78,8
802,1.58705,52,0.12,-3164.51,4184.78,8
804,1.71028,52,0.12,-3156.77,4184.78,8
806,1.83798,52,0.12,-3148.75,4184.78,8
808,1.97013,52,0.12,-3140.46,4184.78,8
810,2.10671,52,0.12,-3131.89,4184.78,8
812,2.24768,52,0.12,-3123.04,4184.78,8
814,2.39304,52,0.12,-3113.91,4184.78,8
816,2.54276,52,0.12,-3104.51,4184.78,8
818,2.69682,52,0.12,-3094.84,4184.78,8
820,2.85519,52,0.12,-3084.9,4184.78,8
822,3.01784,52,0.12,-3074.69,4184.78,8
824,3.18476,52,0.12,-3064.22,4184.78,8
826,3.35591,52,0.12,-3053.47,4184.78,8
828,3.53126,52,0.12,-3042.47,4184.78,8
830,3.7108,52,0.12,-3031.2,4184.78,8
832,3.89449,52,0.12,-3019.66,4184.78,8
834,4.0823,52,0.12,-3007.88,4184.78,8
836,4.2742,52,0.12,-2995.83,4184.78,8
838,4.47017,52,0.12,-2983.53,4184.78,8
840,4.67016,52,0.12,-2970.97,4184.78,8
842,4.87416,52,0.12,-2958.17,4184.78,8
844,5.08212,52,0.12,-2945.11,4184.78,8
846,5.29402,52,0.12,-2931.81,4184.78,8
848,5.50982,52,0.12,-2918.27,4184.78,8
850,5.72949,52,0.12,-2904.48,4184.78,8
852,5.95299,52,0.12,-2890.45,4184.78,8
854,6.18029,52,0.12,-2876.18,4184.78,8
856,6.41135,52,0.12,-2861.68,4184.78,8
858,6.64613,52,0.12,-2846.94,4184.78,8
860,6.8846,52,0.12,-2831.97,4184.78,8
862,7.12672,52,0.12,-2816.77,4184.78,8
864,7.37246,52,0.12,-2801.35,4184.78,8
866,7.62177,52,0.12,-2785.7,4184.78,8
868,7.87461,52,0.12,-2769.83,4184.78,8
870,8.13094,52,0.12,-2753.74,4184.78,8
872,8.39073,52,0.12,-2737.43,4184.78,8
874,8.65393,52,0.12,-2720.91,4184.78,8
876,8.9205,52,0.12,-2704.17,4184.78,8
