Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
2135.586	71.10505556	57.09727778	1325.245111	12.57577778
2140.596	71.22955556	57.06616667	1325.214	12.60688889
2145.642	71.19844444	57.035	1325.276278	12.79372222
2150.76	71.22955556	56.97277778	1325.307389	12.76261111
2155.788	71.10505556	56.94161111	1325.307389	12.88705556
2160.792	71.01166667	56.87938889	1325.276278	12.79372222
2165.814	71.16727778	56.81711111	1325.369667	13.07388889
2170.818	71.04277778	56.81711111	1325.307389	12.88705556
2175.828	71.01166667	56.786	1325.276278	12.79372222
2180.832	71.13616667	56.75488889	1325.276278	12.79372222
2185.854	71.13616667	56.75488889	1325.431944	13.26072222
2190.858	71.01166667	56.6615	1325.400778	13.16722222
2195.868	70.91827778	56.63033333	1325.245111	12.57577778
2200.884	71.01166667	56.63033333	1325.182889	12.38911111
2205.888	70.94938889	56.59922222	1325.214	12.48244444
2210.898	70.98055556	56.56811111	1325.182889	12.38911111
2215.902	70.91827778	56.56811111	1325.214	12.48244444
2220.924	70.88716667	56.50583333	1325.245111	12.57577778
2225.928	70.70038889	56.47472222	1325.245111	12.57577778
2230.938	70.76261111	56.44355556	1325.276278	12.66927778
2235.954	70.607	56.44355556	1325.214	12.60688889
2240.958	70.607	56.44355556	1325.214	12.48244444
2245.488	70.38911111	56.44355556	1325.214	12.60688889
2250.504	70.42022222	56.41244444	1325.182889	12.51355556
2255.508	70.35794444	56.41244444	1325.151722	12.54472222
2260.518	70.42022222	56.38133333	1325.151778	12.42022222
2265.522	70.42022222	56.38133333	1325.245111	12.57577778
2270.544	70.54472222	56.25683333	1325.245111	12.57577778
2275.548	70.29572222	56.22566667	1325.214	12.60688889
2280.558	69.89105556	56.22566667	1325.245111	12.70044444
2285.574	69.95333333	56.16344444	1325.245167	12.70038889
2290.584	70.20233333	56.07005556	1325.245111	12.57577778
2295.588	70.29572222	56.03894444	1325.245111	12.57577778
2300.598	70.29572222	56.00777778	1325.214	12.48244444
2305.68	70.35794444	55.94555556	1325.151778	12.29577778
2310.75	70.23344444	55.94555556	1325.151722	12.42027778
2315.79	70.23344444	55.85216667	1325.214	12.48244444
2320.806	70.29572222	55.821	1325.214	12.48244444
2325.81	70.20233333	55.821	1325.120611	12.20227778
2330.832	70.35794444	55.75877778	1325.151778	12.42022222
2335.848	70.23344444	55.6965	1325.245167	12.70038889
2340.852	70.29572222	55.66533333	1325.214	12.60688889
2345.862	70.23344444	55.63422222	1325.182889	12.38911111
2350.866	70.29572222	55.63422222	1325.182889	12.51355556
2355.888	70.23344444	55.60311111	1325.214	12.48244444
2360.892	70.14005556	55.57194444	1325.151778	12.42022222
2365.902	70.20233333	55.47861111	1325.151778	12.29577778
2370.918	70.20233333	55.47861111	1325.214	12.60688889
2375.922	70.10894444	55.47861111	1325.182889	12.51355556
2380.932	70.14005556	55.44744444	1325.151778	12.42022222
2385.936	70.29572222	55.41633333	1325.120667	12.32688889
2390.958	70.17122222	55.41633333	1325.307389	12.38905556
2395.962	70.35794444	55.41633333	1325.214	12.358
2400.468	70.35794444	55.38522222	1325.245111	12.45133333
2405.49	70.32683333	55.38522222	1325.307389	12.63816667
2410.494	70.07783333	55.32294444	1325.307389	12.63816667
2415.504	69.67316667	55.29183333	1325.307389	12.63816667
2420.52	69.5175	55.26066667	1325.151722	12.17116667
2425.524	68.89494444	55.26066667	1325.182889	12.26466667
2430.576	68.83266667	55.26066667	1325.245111	12.45133333
2435.58	68.428	55.22955556	1325.276278	12.29572222
